Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
06/07/2023;NOTA FISCAL N§ 730684 ;3152;0723-00000936;;1.314,04;32.020,34C
12/07/2023;NOTA FISCAL N§ 731076 ;3152;0723-00000947;;191,01;32.211,35C
29/07/2023;NOTA FISCAL N§ 733059 ;3152;0723-00000751;;1.161,38;33.372,73C
29/07/2023;NOTA FISCAL N§ 733059 ;3152;0723-00001007;;1.835,24;35.207,97C
03/08/2023;NOTA FISCAL N§ 733663 ;3152;0823-00001017;;712,1;35.920,07C
09/08/2023;NOTA FISCAL N§ 734441 ;3152;0823-00000968;;902,22;36.822,29C
10/08/2023;NOTA FISCAL N§ 734262 ;3152;0823-00000986;;547,03;37.369,32C
14/08/2023;NOTA FISCAL N§ 734899 ;3152;0823-00001028;;482,48;37.851,80C
22/08/2023;NOTA FISCAL N§ 735786 ;3152;0823-00001022;;628,73;38.480,53C
09/09/2023;NOTA FISCAL N§ 737485 ;3152;0923-00000994;;455,42;38.935,95C
14/09/2023;NOTA FISCAL N§ 737958 ;3152;0923-00000762;;12,35;38.948,30C
14/09/2023;NOTA FISCAL N§ 737958 ;3152;0923-00001014;;1.279,38;40.227,68C
27/09/2023;NOTA FISCAL N§ 739146 ;3152;0923-00000977;;303,6;40.531,28C
10/10/2023;NOTA FISCAL N§ 740458 ;3152;1023-00000839;;774,48;41.305,76C
17/10/2023;NOTA FISCAL N§ 741088 ;3152;1023-00000634;;1.130,30;42.436,06C
17/10/2023;NOTA FISCAL N§ 741088 ;3152;1023-00000869;;108,47;42.544,53C
01/11/2023;NOTA FISCAL N§ 742558 ;3152;1123-00000715;;408,2;42.952,73C
10/11/2023;NOTA FISCAL N§ 743474 ;3152;1123-00000498;;990,25;43.942,98C
10/11/2023;NOTA FISCAL N§ 743474 ;3152;1123-00000704;;76,4;44.019,38C
22/11/2023;NOTA FISCAL N§ 744445 ;3152;1123-00000505;;289,15;44.308,53C
22/11/2023;NOTA FISCAL N§ 744445 ;3152;1123-00000832;;47,04;44.355,57C
06/12/2023;NOTA FISCAL N§ 745626 ;3152;1223-00000266;;837,26;45.192,83C
06/12/2023;NOTA FISCAL N§ 745626 ;3152;1223-00000502;;1.312,09;46.504,92C
14/12/2023;NOTA FISCAL N§ 746368 ;3152;1223-00000580;;415,55;46.920,47C
01/01/2024;PAGAMENTO DUPLICATA N§ 740458 ;92;0124-00000682;328,18;;46.592,29C
02/01/2024;PAGAMENTO DUPLICATA N§ 742558 ;92;0124-00000683;370,24;;46.222,05C
09/01/2024;PAGAMENTO DUPLICATA N§ 746368 ;92;0124-00000686;104,94;;46.117,11C
16/01/2024;PAGAMENTO DUPLICATA N§ 746368 ;92;0124-00000687;77,65;;46.039,46C
18/01/2024;PAGAMENTO DUPLICATA N§ 743474 ;92;0124-00000684;1.034,81;;45.004,65C
23/01/2024;PAGAMENTO DUPLICATA N§ 746368 ;92;0124-00000688;77,65;;44.927,00C
30/01/2024;PAGAMENTO DUPLICATA N§ 744445 ;92;0124-00000685;326,22;;44.600,78C
30/01/2024;PAGAMENTO DUPLICATA N§ 746368 ;92;0124-00000689;77,65;;44.523,13C
06/02/2024;PAGAMENTO DUPLICATA N§ 746368 ;92;0224-00000642;77,66;;44.445,47C
05/03/2024;PAGAMENTO DUPLICATA N§ 745626 ;92;0324-00000792;2.086,96;;42.358,51C
14/03/2024;NOTA FISCAL N§ 753998 ;3152;0324-00001355;;20,89;42.379,40C
14/03/2024;NOTA FISCAL N§ 753998 ;3152;0324-00001359;;418,84;42.798,24C
16/03/2024;NOTA FISCAL N§ 754256 ;3152;0324-00001356;;168,93;42.967,17C
16/03/2024;NOTA FISCAL N§ 754256 ;3152;0324-00001357;;175,28;43.142,45C
16/03/2024;NOTA FISCAL N§ 753803 ;3152;0324-00001358;;1.033,71;44.176,16C
21/03/2024;NOTA FISCAL N§ 754349 ;3152;0324-00001361;;1.744,05;45.920,21C
21/03/2024;NOTA FISCAL N§ 754501 ;3152;0324-00001362;;156,72;46.076,93C
25/03/2024;NOTA FISCAL N§ 754861 ;3152;0324-00001360;;554,76;46.631,69C
01/04/2024;NOTA FISCAL N§ 755134 ;3152;0424-00001562;;939,35;47.571,04C
02/04/2024;NOTA FISCAL N§ 755490 ;3152;0424-00001564;;1.003,62;48.574,66C
09/04/2024;NOTA FISCAL N§ 756073 ;3152;0424-00001565;;1.096,51;49.671,17C
15/04/2024;NOTA FISCAL N§ 756486 ;3152;0424-00001553;;1.296,47;50.967,64C
15/04/2024;NOTA FISCAL N§ 756486 ;3152;0424-00001557;;459,15;51.426,79C
15/04/2024;NOTA FISCAL N§ 756549 ;3152;0424-00001568;;1.341,00;52.767,79C
15/04/2024;NOTA FISCAL N§ 756645 ;3152;0424-00001570;;966,9;53.734,69C
16/04/2024;NOTA FISCAL N§ 756751 ;3152;0424-00001554;;47,24;53.781,93C
16/04/2024;NOTA FISCAL N§ 756751 ;3152;0424-00001559;;284,4;54.066,33C
16/04/2024;NOTA FISCAL N§ 756752 ;3152;0424-00001560;;786,38;54.852,71C
19/04/2024;NOTA FISCAL N§ 757102 ;3152;0424-00001555;;15,51;54.868,22C
19/04/2024;NOTA FISCAL N§ 757091 ;3152;0424-00001558;;1.857,12;56.725,34C
19/04/2024;NOTA FISCAL N§ 757102 ;3152;0424-00001561;;348,84;57.074,18C
22/04/2024;NOTA FISCAL N§ 757336 ;3152;0424-00001552;;88,4;57.162,58C
22/04/2024;NOTA FISCAL N§ 757336 ;3152;0424-00001566;;738,87;57.901,45C
24/04/2024;NOTA FISCAL N§ 757584 ;3152;0424-00001556;;1.019,73;58.921,18C
26/04/2024;NOTA FISCAL N§ 757807 ;3152;0424-00001569;;327,89;59.249,07C
29/04/2024;NOTA FISCAL N§ 758017 ;3152;0424-00001563;;223,7;59.472,77C
30/04/2024;NOTA FISCAL N§ 758170 ;3152;0424-00001567;;124,79;59.597,56C
06/05/2024;NOTA FISCAL N§ 758242 ;3152;0524-00001658;;9,03;59.606,59C
06/05/2024;NOTA FISCAL N§ 758242 ;3152;0524-00001660;;34,11;59.640,70C
06/05/2024;NOTA FISCAL N§ 758242 ;3152;0524-00001666;;518,38;60.159,08C
10/05/2024;NOTA FISCAL N§ 758909 ;3152;0524-00001669;;736,56;60.895,64C
11/05/2024;NOTA FISCAL N§ 759151 ;3152;0524-00001661;;86,72;60.982,36C
11/05/2024;NOTA FISCAL N§ 759151 ;3152;0524-00001663;;1.224,56;62.206,92C
17/05/2024;NOTA FISCAL N§ 759997 ;3152;0524-00001662;;250,92;62.457,84C
17/05/2024;NOTA FISCAL N§ 759997 ;3152;0524-00001667;;365,46;62.823,30C
18/05/2024;NOTA FISCAL N§ 760178 ;3152;0524-00001670;;329,55;63.152,85C
20/05/2024;NOTA FISCAL N§ 760093 ;3152;0524-00001671;;173,53;63.326,38C
20/05/2024;NOTA FISCAL N§ 759996 ;3152;0524-00001672;;398,09;63.724,47C
22/05/2024;NOTA FISCAL N§ 760491 ;3152;0524-00001659;;11,69;63.736,16C
22/05/2024;NOTA FISCAL N§ 760491 ;3152;0524-00001664;;521,51;64.257,67C
23/05/2024;NOTA FISCAL N§ 760601 ;3152;0524-00001665;;458,12;64.715,79C
25/05/2024;NOTA FISCAL N§ 760755 ;3152;0524-00001668;;719,93;65.435,72C
31/05/2024;PAGAMENTO DUPLICATA N§ 756486 ;92;0524-00001077;586,34;;64.849,38C
31/05/2024;NOTA FISCAL N§ 761176 ;3152;0524-00001673;;947,54;65.796,92C
03/06/2024;PAGAMENTO DUPLICATA N§ 756751 ;92;0624-00001178;322,4;;65.474,52C
04/06/2024;NOTA FISCAL N§ 761623 ;3152;0624-00001651;;373,61;65.848,13C
04/06/2024;NOTA FISCAL N§ 761623 ;3152;0624-00001657;;256,78;66.104,91C
07/06/2024;PAGAMENTO DUPLICATA N§ 756486 ;92;0624-00001186;558,82;;65.546,09C
07/06/2024;NOTA FISCAL N§ 762043 ;3152;0624-00001652;;245,91;65.792,00C
07/06/2024;NOTA FISCAL N§ 762043 ;3152;0624-00001658;;925,36;66.717,36C
11/06/2024;PAGAMENTO DUPLICATA N§ 753803 ;92;0624-00001179;1.004,79;;65.712,57C
12/06/2024;PAGAMENTO DUPLICATA N§ 753998 ;92;0624-00001180;398,69;;65.313,88C
12/06/2024;NOTA FISCAL N§ 762439 ;3152;0624-00001659;;1.696,76;67.010,64C
13/06/2024;PAGAMENTO DUPLICATA N§ 757091 ;92;0624-00001188;1.805,12;;65.205,52C
13/06/2024;NOTA FISCAL N§ 762569 ;3152;0624-00001653;;48,33;65.253,85C
13/06/2024;NOTA FISCAL N§ 762569 ;3152;0624-00001660;;743,36;65.997,21C
14/06/2024;PAGAMENTO DUPLICATA N§ 754256 ;92;0624-00001181;311,12;;65.686,09C
14/06/2024;PAGAMENTO DUPLICATA N§ 756486 ;92;0624-00001187;558,8;;65.127,29C
14/06/2024;NOTA FISCAL N§ 762850 ;3152;0624-00001661;;1.209,61;66.336,90C
17/06/2024;PAGAMENTO DUPLICATA N§ 754349 ;92;0624-00001182;1.695,22;;64.641,68C
18/06/2024;NOTA FISCAL N§ 763158 ;3152;0624-00001654;;336,6;64.978,28C
19/06/2024;PAGAMENTO DUPLICATA N§ 754501 ;92;0624-00001183;152,38;;64.825,90C
19/06/2024;NOTA FISCAL N§ 763265 ;3152;0624-00001655;;159,65;64.985,55C
19/06/2024;NOTA FISCAL N§ 763157 ;3152;0624-00001662;;935,31;65.920,86C
19/06/2024;NOTA FISCAL N§ 763265 ;3152;0624-00001663;;445,87;66.366,73C
21/06/2024;PAGAMENTO DUPLICATA N§ 754861 ;92;0624-00001184;539,26;;65.827,47C
25/06/2024;NOTA FISCAL N§ 763565 ;3152;0624-00001656;;314,49;66.141,96C
25/06/2024;NOTA FISCAL N§ 763565 ;3152;0624-00001664;;567,14;66.709,10C
26/06/2024;PAGAMENTO DUPLICATA N§ 755134 ;92;0624-00001185;913,07;;65.796,03C
01/07/2024;PAGAMENTO DUPLICATA N§ 755490 ;92;0724-00001238;975,54;;64.820,49C
01/07/2024;NOTA FISCAL N§ 764490 ;3152;0724-00001617;;108,9;64.929,39C
01/07/2024;NOTA FISCAL N§ 764490 ;3152;0724-00001625;;3.144,74;68.074,13C
08/07/2024;PAGAMENTO DUPLICATA N§ 756073 ;92;0724-00001239;1.065,83;;67.008,30C
11/07/2024;NOTA FISCAL N§ 765555 ;3152;0724-00001622;;1.789,21;68.797,51C
12/07/2024;PAGAMENTO DUPLICATA N§ 756549 ;92;0724-00001240;1.303,47;;67.494,04C
12/07/2024;PAGAMENTO DUPLICATA N§ 756645 ;92;0724-00001241;876,74;;66.617,30C
12/07/2024;NOTA FISCAL N§ 765876 ;3152;0724-00001618;;241,36;66.858,66C
12/07/2024;NOTA FISCAL N§ 765876 ;3152;0724-00001621;;764,33;67.622,99C
15/07/2024;PAGAMENTO DUPLICATA N§ 756752 ;92;0724-00001242;764,39;;66.858,60C
16/07/2024;NOTA FISCAL N§ 766181 ;3152;0724-00001620;;1.223,12;68.081,72C
18/07/2024;PAGAMENTO DUPLICATA N§ 757102 ;92;0724-00001243;330,39;;67.751,33C
22/07/2024;PAGAMENTO DUPLICATA N§ 757336 ;92;0724-00001244;803,78;;66.947,55C
23/07/2024;PAGAMENTO DUPLICATA N§ 757584 ;92;0724-00001245;991,2;;65.956,35C
23/07/2024;PAGAMENTO DUPLICATA N§ 763867 ;92;0724-00001250;152;;65.804,35C
24/07/2024;NOTA FISCAL N§ 766919 ;3152;0724-00001624;;1.013,81;66.818,16C
25/07/2024;PAGAMENTO DUPLICATA N§ 757807 ;92;0724-00001246;297,43;;66.520,73C
26/07/2024;PAGAMENTO DUPLICATA N§ 758017 ;92;0724-00001247;217,48;;66.303,25C
30/07/2024;PAGAMENTO DUPLICATA N§ 758170 ;92;0724-00001248;121,35;;66.181,90C
30/07/2024;PAGAMENTO DUPLICATA N§ 758242 ;92;0724-00001249;545,82;;65.636,08C
30/07/2024;PAGAMENTO DUPLICATA N§ 763867 ;92;0724-00001251;112,48;;65.523,60C
30/07/2024;NOTA FISCAL N§ 767421 ;3152;0724-00001619;;4.515,53;70.039,13C
31/07/2024;NOTA FISCAL N§ 767735 ;3152;0724-00001623;;2.793,60;72.832,73C
02/08/2024;NOTA FISCAL N§ 768191 ;3152;0824-00001578;;166,2;72.998,93C
02/08/2024;NOTA FISCAL N§ 768191 ;3152;0824-00001579;;1.335,82;74.334,75C
05/08/2024;NOTA FISCAL N§ 767680 ;3152;0824-00001581;;7.362,28;81.697,03C
06/08/2024;PAGAMENTO DUPLICATA N§ 763867 ;92;0824-00001204;112,48;;81.584,55C
08/08/2024;PAGAMENTO DUPLICATA N§ 759151 ;92;0824-00001195;1.273,33;;80.311,22C
13/08/2024;PAGAMENTO DUPLICATA N§ 763867 ;92;0824-00001205;112,48;;80.198,74C
15/08/2024;PAGAMENTO DUPLICATA N§ 759996 ;92;0824-00001196;386,99;;79.811,75C
15/08/2024;PAGAMENTO DUPLICATA N§ 759997 ;92;0824-00001197;598,63;;79.213,12C
15/08/2024;NOTA FISCAL N§ 769456 ;3152;0824-00001577;;66,82;79.279,94C
15/08/2024;NOTA FISCAL N§ 769456 ;3152;0824-00001582;;1.566,15;80.846,09C
16/08/2024;PAGAMENTO DUPLICATA N§ 758909 ;92;0824-00001194;742,87;;80.103,22C
16/08/2024;PAGAMENTO DUPLICATA N§ 760093 ;92;0824-00001198;168,72;;79.934,50C
16/08/2024;PAGAMENTO DUPLICATA N§ 760178 ;92;0824-00001199;298,94;;79.635,56C
20/08/2024;PAGAMENTO DUPLICATA N§ 763867 ;92;0824-00001206;112,49;;79.523,07C
21/08/2024;PAGAMENTO DUPLICATA N§ 760491 ;92;0824-00001200;483,49;;79.039,58C
21/08/2024;PAGAMENTO DUPLICATA N§ 760601 ;92;0824-00001201;415,5;;78.624,08C
23/08/2024;PAGAMENTO DUPLICATA N§ 760755 ;92;0824-00001202;699,8;;77.924,28C
23/08/2024;NOTA FISCAL N§ 770172 ;3152;0824-00001580;;905,28;78.829,56C
28/08/2024;PAGAMENTO DUPLICATA N§ 761176 ;92;0824-00001203;921,03;;77.908,53C
02/09/2024;PAGAMENTO DUPLICATA N§ 761623 ;92;0924-00001278;611,92;;77.296,61C
02/09/2024;NOTA FISCAL N§ 771258 ;3152;0924-00001678;;151,16;77.447,77C
02/09/2024;NOTA FISCAL N§ 771204 ;3152;0924-00001685;;1.145,97;78.593,74C
02/09/2024;NOTA FISCAL N§ 771258 ;3152;0924-00001689;;805,37;79.399,11C
05/09/2024;PAGAMENTO DUPLICATA N§ 762043 ;92;0924-00001279;1.060,40;;78.338,71C
10/09/2024;PAGAMENTO DUPLICATA N§ 762439 ;92;0924-00001280;1.649,25;;76.689,46C
11/09/2024;PAGAMENTO DUPLICATA N§ 762569 ;92;0924-00001281;717,58;;75.971,88C
11/09/2024;NOTA FISCAL N§ 772182 ;3152;0924-00001687;;355,34;76.327,22C
12/09/2024;PAGAMENTO DUPLICATA N§ 762850 ;92;0924-00001282;1.175,76;;75.151,46C
12/09/2024;PAGAMENTO DUPLICATA N§ 768191 ;92;0924-00001287;546,98;;74.604,48C
16/09/2024;PAGAMENTO DUPLICATA N§ 763158 ;92;0924-00001283;326,56;;74.277,92C
17/09/2024;PAGAMENTO DUPLICATA N§ 763265 ;92;0924-00001284;588,22;;73.689,70C
17/09/2024;NOTA FISCAL N§ 772662 ;3152;0924-00001686;;1.240,98;74.930,68C
18/09/2024;NOTA FISCAL N§ 772921 ;3152;0924-00001680;;796,39;75.727,07C
18/09/2024;NOTA FISCAL N§ 772921 ;3152;0924-00001688;;553,2;76.280,27C
19/09/2024;PAGAMENTO DUPLICATA N§ 763565 ;92;0924-00001285;856,58;;75.423,69C
23/09/2024;NOTA FISCAL N§ 773254 ;3152;0924-00001683;;1.258,07;76.681,76C
24/09/2024;PAGAMENTO DUPLICATA N§ 763922 ;92;0924-00001286;170,27;;76.511,49C
24/09/2024;NOTA FISCAL N§ 773680 ;3152;0924-00001681;;1.766,73;78.278,22C
25/09/2024;NOTA FISCAL N§ 773886 ;3152;0924-00001679;;173,35;78.451,57C
25/09/2024;NOTA FISCAL N§ 773886 ;3152;0924-00001682;;131,36;78.582,93C
26/09/2024;PAGAMENTO DUPLICATA N§ 768191 ;92;0924-00001288;456,47;;78.126,46C
27/09/2024;NOTA FISCAL N§ 773962 ;3152;0924-00001684;;2.817,61;80.944,07C
01/10/2024;NOTA FISCAL N§ 774313 ;3152;1024-00001611;;866,82;81.810,89C
09/10/2024;NOTA FISCAL N§ 775075 ;3152;1024-00001613;;878,59;82.689,48C
10/10/2024;PAGAMENTO DUPLICATA N§ 765876 ;92;1024-00001230;976,45;;81.713,03C
10/10/2024;PAGAMENTO DUPLICATA N§ 768191 ;92;1024-00001232;456,47;;81.256,56C
10/10/2024;NOTA FISCAL N§ 775607 ;3152;1024-00001608;;10,79;81.267,35C
10/10/2024;NOTA FISCAL N§ 775577 ;3152;1024-00001610;;2.465,61;83.732,96C
10/10/2024;NOTA FISCAL N§ 775607 ;3152;1024-00001616;;649,17;84.382,13C
11/10/2024;PAGAMENTO DUPLICATA N§ 763157 ;92;1024-00001228;909,15;;83.472,98C
15/10/2024;NOTA FISCAL N§ 776066 ;3152;1024-00001609;;143,96;83.616,94C
15/10/2024;NOTA FISCAL N§ 776066 ;3152;1024-00001612;;693,32;84.310,26C
17/10/2024;NOTA FISCAL N§ 776498 ;3152;1024-00001617;;2.080,06;86.390,32C
18/10/2024;PAGAMENTO DUPLICATA N§ 765555 ;92;1024-00001229;1.739,11;;84.651,21C
23/10/2024;NOTA FISCAL N§ 776849 ;3152;1024-00001615;;486,61;85.137,82C
25/10/2024;NOTA FISCAL N§ 777037 ;3152;1024-00001607;;140,18;85.278,00C
25/10/2024;NOTA FISCAL N§ 777037 ;3152;1024-00001614;;979,31;86.257,31C
31/10/2024;PAGAMENTO DUPLICATA N§ 766181 ;92;1024-00001231;1.188,89;;85.068,42C
01/11/2024;PAGAMENTO DUPLICATA N§ 764490 ;92;1124-00001279;2.949,11;;82.119,31C
01/11/2024;PAGAMENTO DUPLICATA N§ 766919 ;92;1124-00001280;985,45;;81.133,86C
04/11/2024;NOTA FISCAL N§ 778024 ;3152;1124-00001626;;324,2;81.458,06C
04/11/2024;NOTA FISCAL N§ 778024 ;3152;1124-00001630;;491,95;81.950,01C
06/11/2024;NOTA FISCAL N§ 778400 ;3152;1124-00001634;;3.134,23;85.084,24C
07/11/2024;NOTA FISCAL N§ 778591 ;3152;1124-00001629;;128,57;85.212,81C
07/11/2024;NOTA FISCAL N§ 778591 ;3152;1124-00001633;;277,32;85.490,13C
08/11/2024;PAGAMENTO DUPLICATA N§ 772662 ;92;1124-00001285;1.206,25;;84.283,88C
12/11/2024;NOTA FISCAL N§ 778977 ;3152;1124-00001635;;2.441,06;86.724,94C
13/11/2024;PAGAMENTO DUPLICATA N§ 769456 ;92;1124-00001283;1.480,07;;85.244,87C
19/11/2024;NOTA FISCAL N§ 779620 ;3152;1124-00001636;;2.330,85;87.575,72C
21/11/2024;NOTA FISCAL N§ 779731 ;3152;1124-00001628;;11,96;87.587,68C
21/11/2024;NOTA FISCAL N§ 779731 ;3152;1124-00001631;;803,51;88.391,19C
22/11/2024;PAGAMENTO DUPLICATA N§ 767421 ;92;1124-00001281;4.389,01;;84.002,18C
26/11/2024;PAGAMENTO DUPLICATA N§ 767735 ;92;1124-00001282;2.715,35;;81.286,83C
29/11/2024;PAGAMENTO DUPLICATA N§ 771204 ;92;1124-00001284;1.039,08;;80.247,75C
29/11/2024;NOTA FISCAL N§ 780514 ;3152;1124-00001627;;438,16;80.685,91C
29/11/2024;NOTA FISCAL N§ 780514 ;3152;1124-00001632;;406,16;81.092,07C
03/12/2024;NOTA FISCAL N§ 780975 ;3152;1224-00001497;;3.325,16;84.417,23C
05/12/2024;NOTA FISCAL N§ 781386 ;3152;1224-00001496;;204,19;84.621,42C
05/12/2024;NOTA FISCAL N§ 781386 ;3152;1224-00001498;;1.299,07;85.920,49C
10/12/2024;NOTA FISCAL N§ 781800 ;3152;1224-00001499;;563,07;86.483,56C
11/12/2024;PAGAMENTO DUPLICATA N§ 772182 ;92;1224-00001153;345,43;;86.138,13C
12/12/2024;NOTA FISCAL N§ 782089 ;3152;1224-00001500;;1.057,76;87.195,89C
18/12/2024;PAGAMENTO DUPLICATA N§ 773254 ;92;1224-00001154;1.140,70;;86.055,19C
23/12/2024;PAGAMENTO DUPLICATA N§ 773680 ;92;1224-00001155;1.717,26;;84.337,93C
24/12/2024;PAGAMENTO DUPLICATA N§ 773886 ;92;1224-00001156;295,86;;84.042,07C
24/12/2024;PAGAMENTO DUPLICATA N§ 773962 ;92;1224-00001157;2.738,69;;81.303,38C
27/12/2024;PAGAMENTO DUPLICATA N§ 774313 ;92;1224-00001158;842,58;;80.460,80C
;;;;;;
Conta:;6201 - 2.1.1.01.001 - OFFICIAL-DIST.E REP;;;;;
14/02/2023;NOTA FISCAL N§ 82441 ;3152;0223-00000940;;2.414,90;2.414,90C
13/03/2023;NOTA FISCAL N§ 83387 ;3152;0323-00001008;;343;2.757,90C
10/05/2023;NOTA FISCAL N§ 86964 ;3152;0523-00001057;;1.975,98;4.733,88C
04/08/2023;NOTA FISCAL N§ 92281 ;3152;0823-00000884;;2.441,76;7.175,64C
06/03/2024;NOTA FISCAL N§ 104782 ;3152;0324-00001363;;1.543,10;8.718,74C
10/04/2024;NOTA FISCAL N§ 106798 ;3152;0424-00001571;;1.259,65;9.978,39C
02/05/2024;PAGAMENTO DUPLICATA N§ 104782 ;92;0524-00001078;789,54;;9.188,85C
17/05/2024;PAGAMENTO DUPLICATA N§ 104782 ;92;0524-00001079;789,54;;8.399,31C
30/07/2024;PAGAMENTO DUPLICATA N§ 106798 ;92;0724-00001252;1.259,65;;7.139,66C
;;;;;;
Conta:;6220 - 2.1.1.01.001 - PANPHARMA DISTRIBUIDORA DE MEDICAMENTO LTDA;;;;;
06/01/2023;NOTA FISCAL N§ 3291525 ;3152;0123-00001056;;18,17;18,17C
07/01/2023;NOTA FISCAL N§ 3292352 ;3152;0123-00001052;;88,94;107,11C
10/01/2023;NOTA FISCAL N§ 3293517 ;3152;0123-00001053;;663,39;770,50C
13/01/2023;NOTA FISCAL N§ 3296903 ;3152;0123-00001055;;106;876,50C
13/01/2023;NOTA FISCAL N§ 3297230 ;3152;0123-00001065;;94,39;970,89C
16/01/2023;NOTA FISCAL N§ 3298707 ;3152;0123-00001061;;1.148,25;2.119,14C
16/01/2023;NOTA FISCAL N§ 3294593 ;3152;0123-00001062;;7,11;2.126,25C
20/01/2023;NOTA FISCAL N§ 3303257 ;3152;0123-00001057;;109,67;2.235,92C
20/01/2023;NOTA FISCAL N§ 3303317 ;3152;0123-00001059;;967,13;3.203,05C
20/01/2023;NOTA FISCAL N§ 3303952 ;3152;0123-00001060;;259,55;3.462,60C
23/01/2023;NOTA FISCAL N§ 3303569 ;3152;0123-00001063;;47,96;3.510,56C
24/01/2023;NOTA FISCAL N§ 3305487 ;3152;0123-00001064;;149,65;3.660,21C
27/01/2023;NOTA FISCAL N§ 3310420 ;3152;0123-00001054;;121,57;3.781,78C
27/01/2023;NOTA FISCAL N§ 3310569 ;3152;0123-00001058;;180,2;3.961,98C
02/02/2023;NOTA FISCAL N§ 3316316 ;3152;0223-00000941;;46,95;4.008,93C
02/02/2023;NOTA FISCAL N§ 3316567 ;3152;0223-00000951;;448,54;4.457,47C
03/02/2023;NOTA FISCAL N§ 3317749 ;3152;0223-00000949;;174,43;4.631,90C
03/02/2023;NOTA FISCAL N§ 3317260 ;3152;0223-00000958;;84,75;4.716,65C
03/02/2023;NOTA FISCAL N§ 3317646 ;3152;0223-00000962;;112,06;4.828,71C
03/02/2023;NOTA FISCAL N§ 3318032 ;3152;0223-00000964;;601,7;5.430,41C
07/02/2023;NOTA FISCAL N§ 3321658 ;3152;0223-00000946;;255,85;5.686,26C
10/02/2023;NOTA FISCAL N§ 3322939 ;3152;0223-00000953;;43,62;5.729,88C
10/02/2023;NOTA FISCAL N§ 3323205 ;3152;0223-00000963;;62,18;5.792,06C
13/02/2023;NOTA FISCAL N§ 3324888 ;3152;0223-00000943;;36,69;5.828,75C
13/02/2023;NOTA FISCAL N§ 3324488 ;3152;0223-00000944;;343,38;6.172,13C
13/02/2023;NOTA FISCAL N§ 3325342 ;3152;0223-00000947;;393,74;6.565,87C
13/02/2023;NOTA FISCAL N§ 3325737 ;3152;0223-00000948;;241,72;6.807,59C
13/02/2023;NOTA FISCAL N§ 3324620 ;3152;0223-00000950;;25,08;6.832,67C
13/02/2023;NOTA FISCAL N§ 3324547 ;3152;0223-00000952;;140,63;6.973,30C
13/02/2023;NOTA FISCAL N§ 3324548 ;3152;0223-00000955;;407,92;7.381,22C
13/02/2023;NOTA FISCAL N§ 3325360 ;3152;0223-00000961;;363,16;7.744,38C
14/02/2023;NOTA FISCAL N§ 3328079 ;3152;0223-00000945;;361,72;8.106,10C
16/02/2023;NOTA FISCAL N§ 3330836 ;3152;0223-00000942;;70,14;8.176,24C
16/02/2023;NOTA FISCAL N§ 3328898 ;3152;0223-00000965;;97,68;8.273,92C
17/02/2023;NOTA FISCAL N§ 3330296 ;3152;0223-00000956;;88,7;8.362,62C
18/02/2023;NOTA FISCAL N§ 3331624 ;3152;0223-00000954;;6,9;8.369,52C
18/02/2023;NOTA FISCAL N§ 3333052 ;3152;0223-00000959;;75,78;8.445,30C
22/02/2023;NOTA FISCAL N§ 3331623 ;3152;0223-00000957;;47,08;8.492,38C
28/02/2023;NOTA FISCAL N§ 3339864 ;3152;0223-00000960;;131;8.623,38C
01/03/2023;NOTA FISCAL N§ 3341797 ;3152;0323-00001016;;807,59;9.430,97C
03/03/2023;NOTA FISCAL N§ 3344135 ;3152;0323-00001010;;156,16;9.587,13C
03/03/2023;NOTA FISCAL N§ 3344135 ;3152;0323-00001022;;47,84;9.634,97C
07/03/2023;NOTA FISCAL N§ 3344647 ;3152;0323-00001012;;1.372,26;11.007,23C
07/03/2023;NOTA FISCAL N§ 3345601 ;3152;0323-00001023;;540,25;11.547,48C
07/03/2023;NOTA FISCAL N§ 3344449 ;3152;0323-00001030;;188,49;11.735,97C
08/03/2023;NOTA FISCAL N§ 3346111 ;3152;0323-00001021;;400,28;12.136,25C
08/03/2023;NOTA FISCAL N§ 3348477 ;3152;0323-00001027;;61,27;12.197,52C
09/03/2023;NOTA FISCAL N§ 3348600 ;3152;0323-00001032;;337,23;12.534,75C
11/03/2023;NOTA FISCAL N§ 3349213 ;3152;0323-00001029;;19,25;12.554,00C
11/03/2023;NOTA FISCAL N§ 3352823 ;3152;0323-00001033;;146,16;12.700,16C
14/03/2023;NOTA FISCAL N§ 3351848 ;3152;0323-00001031;;200,84;12.901,00C
15/03/2023;NOTA FISCAL N§ 3355609 ;3152;0323-00001025;;326,59;13.227,59C
17/03/2023;NOTA FISCAL N§ 3357070 ;3152;0323-00001009;;148,41;13.376,00C
17/03/2023;NOTA FISCAL N§ 3357030 ;3152;0323-00001020;;251,74;13.627,74C
17/03/2023;NOTA FISCAL N§ 3358676 ;3152;0323-00001024;;1.003,54;14.631,28C
18/03/2023;NOTA FISCAL N§ 3360898 ;3152;0323-00001015;;43,5;14.674,78C
18/03/2023;NOTA FISCAL N§ 3360930 ;3152;0323-00001028;;205,04;14.879,82C
22/03/2023;NOTA FISCAL N§ 3364334 ;3152;0323-00001013;;76,96;14.956,78C
23/03/2023;NOTA FISCAL N§ 3365786 ;3152;0323-00001011;;546,32;15.503,10C
