Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
26/05/2023;NOTA FISCAL N§ 236438 ;3152;0523-00000768;;2.671,43;6.367,81C
26/05/2023;NOTA FISCAL N§ 236438 ;3152;0523-00000771;;225,34;6.593,15C
28/06/2023;NOTA FISCAL N§ 238293 ;3152;0623-00000722;;725,32;7.318,47C
28/06/2023;NOTA FISCAL N§ 238293 ;3152;0623-00000723;;250,67;7.569,14C
19/07/2023;NOTA FISCAL N§ 240254 ;3152;0723-00000741;;335,88;7.905,02C
20/07/2023;NOTA FISCAL N§ 240441 ;3152;0723-00000740;;2.058,78;9.963,80C
20/07/2023;NOTA FISCAL N§ 240441 ;3152;0723-00000743;;119,03;10.082,83C
21/07/2023;NOTA FISCAL N§ 240530 ;3152;0723-00000742;;23,52;10.106,35C
21/07/2023;NOTA FISCAL N§ 240530 ;3152;0723-00000744;;204,21;10.310,56C
17/08/2023;NOTA FISCAL N§ 242518 ;3152;0823-00000733;;2.216,36;12.526,92C
18/08/2023;NOTA FISCAL N§ 242704 ;3152;0823-00000735;;671,3;13.198,22C
31/08/2023;NOTA FISCAL N§ 243343 ;3152;0823-00000734;;331,56;13.529,78C
31/08/2023;NOTA FISCAL N§ 243343 ;3152;0823-00000736;;69,59;13.599,37C
04/09/2023;NOTA FISCAL N§ 243769 ;3152;0923-00000734;;409,46;14.008,83C
13/09/2023;NOTA FISCAL N§ 244531 ;3152;0923-00000731;;142,66;14.151,49C
13/09/2023;NOTA FISCAL N§ 244531 ;3152;0923-00000735;;474,52;14.626,01C
18/09/2023;NOTA FISCAL N§ 245076 ;3152;0923-00000732;;66,36;14.692,37C
19/09/2023;NOTA FISCAL N§ 245174 ;3152;0923-00000733;;205,74;14.898,11C
05/10/2023;NOTA FISCAL N§ 246351 ;3152;1023-00000589;;362,36;15.260,47C
05/10/2023;NOTA FISCAL N§ 246351 ;3152;1023-00000591;;81,77;15.342,24C
23/10/2023;NOTA FISCAL N§ 247643 ;3152;1023-00000588;;481;15.823,24C
